ID	TYPE	LEN	PW1_NAME	PW1_ROUTE	PW1_ROUTE_GENES
31	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n42', 'n32', 'n17', 'n31']	['NFKB1', 'RELA', 'SOCS3', 'JAK2', 'STAT3', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'AGRP']
32	P2	6	Adipocytokine signaling pathway	['n4', 'n7', 'n42', 'n32', 'n17', 'n26']	['NFKB1', 'RELA', 'SOCS3', 'JAK2', 'STAT3', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'NPY']
33	P2	5	Adipocytokine signaling pathway	['n4', 'n7', 'n42', 'n32', 'n40']	['NFKB1', 'RELA', 'SOCS3', 'JAK2', 'STAT3', 'PPARGC1A']
34	P2	4	Adipocytokine signaling pathway	['n4', 'n7', 'n42', 'n6']	['NFKB1', 'RELA', 'SOCS3', 'JAK2', 'PTPN11']
35	P2	3	Adipocytokine signaling pathway	['n32', 'n7', 'n37']	['STAT3', 'SOCS3', 'IRS1', 'IRS4', 'IRS2']
36	P2	5	Adipocytokine signaling pathway	['n32', 'n7', 'n24', 'n42', 'n6']	['STAT3', 'SOCS3', 'LEPR', 'JAK2', 'PTPN11']
37	P2	6	Adipocytokine signaling pathway	['n32', 'n7', 'n24', 'n25', 'n18', 'n28']	['STAT3', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SLC2A1', 'SLC2A4']
38	P2	6	Adipocytokine signaling pathway	['n32', 'n7', 'n24', 'n25', 'n18', 'n10']	['STAT3', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PCK1', 'PCK2']
39	P2	6	Adipocytokine signaling pathway	['n32', 'n7', 'n24', 'n25', 'n18', 'n9']	['STAT3', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'G6PC', 'G6PC2', 'G6PC3']
40	P2	6	Adipocytokine signaling pathway	['n32', 'n7', 'n24', 'n25', 'n18', 'n20']	['STAT3', 'SOCS3', 'LEPR', 'CAMKK2', 'STK11', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'ACACB']
41	P2	5	Adipocytokine signaling pathway	['n32', 'n7', 'n24', 'n162', 'n8']	['STAT3', 'SOCS3', 'LEPR', 'PPARA', 'RXRA', 'RXRB', 'RXRG', 'CPT1C', 'CPT1A', 'CPT1B']
42	P2	4	Adipocytokine signaling pathway	['n32', 'n7', 'n42', 'n6']	['STAT3', 'SOCS3', 'JAK2', 'PTPN11']
43	P2	2	Adipocytokine signaling pathway	['n32', 'n16']	['STAT3', 'POMC']
44	P2	2	Adipocytokine signaling pathway	['n32', 'n8']	['STAT3', 'CPT1C', 'CPT1A', 'CPT1B']
45	P2	3	Adipocytokine signaling pathway	['n32', 'n17', 'n31']	['STAT3', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'AGRP']
46	P2	3	Adipocytokine signaling pathway	['n32', 'n17', 'n26']	['STAT3', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'NPY']
47	P2	2	Adipocytokine signaling pathway	['n32', 'n40']	['STAT3', 'PPARGC1A']
48	P2	2	Adipocytokine signaling pathway	['n162', 'n8']	['PPARA', 'RXRA', 'RXRB', 'RXRG', 'CPT1C', 'CPT1A', 'CPT1B']
49	P2	2	Adipocytokine signaling pathway	['n21', 'n27']	['PPARA', 'RXRA', 'RXRB', 'RXRG']
50	P2	2	Aldosterone synthesis and secretion	['n14', 'n31']	['CREB3', 'CREB1', 'ATF2', 'ATF6B', 'CREB3L4', 'ATF4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5', 'CYP11B2']
51	P2	2	Aldosterone synthesis and secretion	['n14', 'n32']	['CREB3', 'CREB1', 'ATF2', 'ATF6B', 'CREB3L4', 'ATF4', 'CREB3L2', 'CREB3L3', 'CREB3L1', 'CREB5', 'STAR']
52	P2	2	Aldosterone synthesis and secretion	['n29', 'n31']	['NR4A2', 'CYP11B2']
53	P2	2	Aldosterone synthesis and secretion	['n29', 'n32']	['NR4A2', 'STAR']
54	P2	2	Aldosterone synthesis and secretion	['n30', 'n31']	['NR4A1', 'CYP11B2']
55	P2	2	Aldosterone synthesis and secretion	['n30', 'n32']	['NR4A1', 'STAR']
56	P1	10	AMPK signaling pathway	['n2', 'n4', 'n8', 'n6', 'n9', 'n7', 'n5', 'n105', 'n92', 'n46', 'n63']	['INS', 'INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
57	P1	10	AMPK signaling pathway	['n2', 'n4', 'n8', 'n6', 'n9', 'n7', 'n5', 'n105', 'n92', 'n46', 'n103', 'n104']	['INS', 'INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
58	P1	10	AMPK signaling pathway	['n13', 'n14', 'n8', 'n6', 'n9', 'n7', 'n5', 'n105', 'n92', 'n46', 'n63']	['IGF1', 'IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
59	P1	10	AMPK signaling pathway	['n13', 'n14', 'n8', 'n6', 'n9', 'n7', 'n5', 'n105', 'n92', 'n46', 'n103', 'n104']	['IGF1', 'IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
60	P1	5	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n51']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'HNF4A']
61	P1	5	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n25']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A']
62	P1	8	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n105', 'n92', 'n46', 'n63']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
63	P1	8	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n105', 'n92', 'n46', 'n103', 'n104']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
64	P1	5	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n67']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'CRTC2']
65	P1	6	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n46', 'n63']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
66	P1	6	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n46', 'n103', 'n104']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
67	P1	5	AMPK signaling pathway	['n48', 'n27', 'n29', 'n28', 'n1', 'n55']	['ADIPOQ', 'ADIPOR1', 'ADIPOR2', 'C00076', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SREBF1']
68	P1	3	AMPK signaling pathway	['n83', 'n1', 'n51']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'HNF4A']
69	P1	3	AMPK signaling pathway	['n83', 'n1', 'n25']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A']
70	P1	6	AMPK signaling pathway	['n83', 'n1', 'n105', 'n92', 'n46', 'n63']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
71	P1	6	AMPK signaling pathway	['n83', 'n1', 'n105', 'n92', 'n46', 'n103', 'n104']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
72	P1	3	AMPK signaling pathway	['n83', 'n1', 'n67']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'CRTC2']
73	P1	4	AMPK signaling pathway	['n83', 'n1', 'n46', 'n63']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
74	P1	4	AMPK signaling pathway	['n83', 'n1', 'n46', 'n103', 'n104']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
75	P1	3	AMPK signaling pathway	['n83', 'n1', 'n55']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SREBF1']
76	P1	5	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n51']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'HNF4A']
77	P1	5	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n25']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A']
78	P1	8	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n105', 'n92', 'n46', 'n63']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
79	P1	8	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n105', 'n92', 'n46', 'n103', 'n104']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
80	P1	5	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n67']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'CRTC2']
81	P1	6	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n46', 'n63']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
82	P1	6	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n46', 'n103', 'n104']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'ULK1', 'Autophagy - animal']
83	P1	5	AMPK signaling pathway	['n86', 'n84', 'n85', 'n1', 'n55']	['LEP', 'LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SREBF1']
84	P2	3	AMPK signaling pathway	['n25', 'n26', 'n54']	['PPARGC1A', 'PPARGC1A', 'SLC2A4']
85	P2	2	AMPK signaling pathway	['n26', 'n54']	['PPARGC1A', 'SLC2A4']
86	P2	2	AMPK signaling pathway	['n51', 'n289']	['HNF4A', 'G6PC', 'G6PC2', 'G6PC3', 'PCK1', 'PCK2']
87	P2	2	AMPK signaling pathway	['n55', 'n288']	['SREBF1', 'ACACA', 'SCD', 'SCD5', 'FASN']
88	P2	2	AMPK signaling pathway	['n67', 'n68']	['CRTC2', 'PPARGC1A']
89	P2	2	AMPK signaling pathway	['n67', 'n289']	['CRTC2', 'G6PC', 'G6PC2', 'G6PC3', 'PCK1', 'PCK2']
90	P1	6	Apelin signaling pathway	['n82', 'n2', 'n6', 'n7', 'n8', 'n44']	['APLN', 'APLNR', 'GNB5', 'GNAI1', 'GNAI2', 'GNAI3', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PIK3R6', 'PIK3R5', 'PIK3CG', 'AKT3', 'AKT1', 'AKT2', 'MAPK1', 'MAPK3']
91	P1	8	Apelin signaling pathway	['n82', 'n2', 'n6', 'n31', 'n20', 'n21', 'n9', 'n10']	['APLN', 'APLNR', 'GNB5', 'GNAI1', 'GNAI2', 'GNAI3', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PRKCE', 'RRAS2', 'MRAS', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
92	P1	4	Apelin signaling pathway	['n82', 'n2', 'n76', 'n3']	['APLN', 'APLNR', 'GNB5', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1']
93	P1	7	Apelin signaling pathway	['n82', 'n2', 'n76', 'n20', 'n21', 'n9', 'n10']	['APLN', 'APLNR', 'GNB5', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'RRAS2', 'MRAS', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
94	P1	9	Apelin signaling pathway	['n82', 'n2', 'n76', 'n12', 'n30', 'n31', 'n20', 'n21', 'n9', 'n10']	['APLN', 'APLNR', 'GNB5', 'GNAQ', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'PLCB1', 'PLCB2', 'PLCB3', 'PLCB4', 'C00165', 'PRKCE', 'RRAS2', 'MRAS', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RAF1', 'MAP2K1', 'MAP2K2', 'MAPK1', 'MAPK3']
95	P1	5	Apelin signaling pathway	['n82', 'n2', 'n48', 'n78', 'n46']	['APLN', 'APLNR', 'GNA13', 'GNB5', 'GNB1', 'GNB2', 'GNB3', 'GNG3', 'GNG4', 'GNG5', 'GNG7', 'GNG10', 'GNG11', 'GNGT1', 'GNGT2', 'GNG13', 'GNG2', 'GNG12', 'GNB4', 'GNG8', 'CAMK4', 'HDAC5', 'HDAC4']
96	P1	5	Apelin signaling pathway	['n82', 'n2', 'n50', 'n52', 'n51', 'n67']	['APLN', 'APLNR', 'PIK3R4', 'PIK3C3', 'BECN2', 'BECN1', 'GABARAP', 'GABARAPL2', 'GABARAPL1', 'Autophagy - animal']
97	P1	3	Apelin signaling pathway	['n82', 'n23', 'n60']	['APLN', 'TGFBR1', 'SMAD2', 'SMAD3']
98	P2	2	Apelin signaling pathway	['n3', 'n66']	['PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PLIN1']
99	P2	3	Apelin signaling pathway	['n3', 'n25', 'n38']	['PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A', 'UCP1']
100	P2	3	Apelin signaling pathway	['n3', 'n25', 'n27']	['PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A', 'NRF1']
101	P2	3	Apelin signaling pathway	['n3', 'n25', 'n26']	['PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A', 'TFAM']
102	P2	3	Apelin signaling pathway	['n3', 'n22', 'n64', 'n65']	['PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'KLF2', 'NOS1', 'NOS2', 'NOS3', 'C00533']
103	P2	2	Apelin signaling pathway	['n3', 'n4', 'n80']	['PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SPHK2', 'SPHK1', 'C06124']
104	P2	3	Apelin signaling pathway	['n10', 'n49', 'n63']	['MAPK1', 'MAPK3', 'RPS6KB1', 'RPS6KB2', 'RPS6']
105	P2	2	Apelin signaling pathway	['n10', 'n75']	['MAPK1', 'MAPK3', 'SLC9A1']
