ULRID	C1-R1-TFs-ids	C1-R1-TFs-genes	C1-R1-ids	C1-R1-genes	C1-R1-PW	C1-R1-ID	C1-R1-TYPE	SocektPairs_TF	SocketPairs_Ligand
17	n14	"NFKB1,RELA"	"n14,n253,n233"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1452	P2	"NFKB1,RELA"	IFNG
18	n14	"NFKB1,RELA"	"n14,n253,n234"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1453	P2	"NFKB1,RELA"	IFNG
19	n14	"NFKB1,RELA"	"n14,n253,n235"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1451	P2	"NFKB1,RELA"	IL4
20	n14	"NFKB1,RELA"	"n14,n253,n233"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1452	P2	"NFKB1,RELA"	IL4
21	n14	"NFKB1,RELA"	"n14,n253,n234"	"NFKB1,RELA,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1453	P2	"NFKB1,RELA"	IL4
22	n14	ATF4	"n14,n177"	"ATF4,FSHB,CGA,LHB"	GnRH signaling pathway	Route850	P2	ATF4	CGA
23	n140	RORC	"n140,n149"	"RORC,IL17A"	Th17 cell differentiation	Route1551	P2	RORC	IL17A
24	n161	"MAPK10,MAPK8,MAPK9,MAPK12,MAPK11,MAPK14,MAPK13"	"n161,n163"	"MAPK10,MAPK8,MAPK9,MAPK12,MAPK11,MAPK14,MAPK13,CXCL8,CXCL10,IL12B,IL12A,TNF"	RIG-I-like receptor signaling pathway	Route1394	P2	"MAPK10,MAPK8,MAPK9,MAPK12,MAPK11,MAPK14,MAPK13"	TNF
25	"n169,n140"	"FOXP3,RORC"	"n169,n140,n149"	"FOXP3,RORC,IL17A"	Th17 cell differentiation	Route1559	P2	"FOXP3,RORC"	IL17A
26	n17	"STAT1,STAT3,STAT5A,STAT5B"	"n17,n47"	"STAT1,STAT3,STAT5A,STAT5B,INS"	Prolactin signaling pathway	Route1328	P2	"STAT1,STAT3,STAT5A,STAT5B"	INS
27	n17	"STAT1,STAT3,STAT5A,STAT5B"	"n17,n37"	"STAT1,STAT3,STAT5A,STAT5B,TNFSF11"	Prolactin signaling pathway	Route1317	P2	"STAT1,STAT3,STAT5A,STAT5B"	TNFSF11
28	n170	"NFKB1,RELA"	"n170,n579"	"NFKB1,RELA,IL1B,TNF"	NF-kappa B signaling pathway	Route1139	P2	"NFKB1,RELA"	TNF
29	n170	"NFKB1,RELA"	"n170,n579"	"NFKB1,RELA,IL1B,TNF"	NF-kappa B signaling pathway	Route1139	P2	"NFKB1,RELA"	IL1B
30	n173	"PDX1,CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5"	"n173,n24"	"PDX1,CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,INS"	Insulin secretion	Route948	P2	"PDX1,CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5"	INS
31	n180	"ELK1,EGR1"	"n180,n177"	"ELK1,EGR1,FSHB,CGA,LHB"	GnRH signaling pathway	Route852	P2	"ELK1,EGR1"	CGA
32	n20	"NFKB1,RELA"	"n20,n163"	"NFKB1,RELA,CXCL8,CXCL10,IL12B,IL12A,TNF"	RIG-I-like receptor signaling pathway	Route1391	P2	"NFKB1,RELA"	TNF
33	n20	"MAPK1,MAPK3"	"n20,n57"	"MAPK1,MAPK3,VEGFD,VEGFA,VEGFB,VEGFC"	Relaxin signaling pathway	Route1370	P2	"MAPK1,MAPK3"	VEGFA
34	n228	"NFKB1,RELA"	"n228,n1039"	"NFKB1,RELA,IL1B,IL18,TNF,IL6"	NOD-like receptor signaling pathway	Route1157	P2	"NFKB1,RELA"	TNF
35	n228	"NFKB1,RELA"	"n228,n1039"	"NFKB1,RELA,IL1B,IL18,TNF,IL6"	NOD-like receptor signaling pathway	Route1157	P2	"NFKB1,RELA"	IL6
36	n228	"NFKB1,RELA"	"n228,n1039"	"NFKB1,RELA,IL1B,IL18,TNF,IL6"	NOD-like receptor signaling pathway	Route1157	P2	"NFKB1,RELA"	IL1B
37	n233	"RORC,RORA"	"n233,n89"	"RORC,RORA,IL17A"	Th17 cell differentiation	Route1563	P2	"RORC,RORA"	IL17A
38	n235	"HSP90AA1,HSP90AB1,AHR"	"n235,n89"	"HSP90AA1,HSP90AB1,AHR,IL17A"	Th17 cell differentiation	Route1568	P2	"HSP90AA1,HSP90AB1,AHR"	IL17A
39	n24	"NFATC1,NFATC2"	"n24,n380"	"NFATC1,NFATC2,IFNG,TNF,CSF2"	Natural killer cell mediated cytotoxicity	Route1098	P2	"NFATC1,NFATC2"	TNF
40	n24	"NFATC1,NFATC2"	"n24,n380"	"NFATC1,NFATC2,IFNG,TNF,CSF2"	Natural killer cell mediated cytotoxicity	Route1098	P2	"NFATC1,NFATC2"	IFNG
41	n25	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5"	"n25,n57"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,VEGFD,VEGFA,VEGFB,VEGFC"	Relaxin signaling pathway	Route1373	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5"	VEGFA
42	n27	"NFATC1,NFATC2,NFATC3,NFATC4"	"n27,n322"	"NFATC1,NFATC2,NFATC3,NFATC4,TRPC6,NPPB,MYH6,MYH7"	cGMP-PKG signaling pathway	Route600	P2	"NFATC1,NFATC2,NFATC3,NFATC4"	TRPC6
43	n28	JUN	"n28,n324,n277"	"JUN,TBX21,IFNG,IL12RB1,IL12RB2,Th1 Cellular immunity (Inflammation)"	Th1 and Th2 cell differentiation	Route1492	P2	JUN	IFNG
44	n28	JUN	"n28,n327,n278"	"JUN,MAF,IL5,IL13,IL2,IL4,IL2RA,IL4R,GATA3,Th2 Humoral Immunity (Antibody production)"	Th1 and Th2 cell differentiation	Route1491	P2	JUN	IL4
45	n29	FOXO3	"n29,n568"	"FOXO3,FASLG,BCL2L11"	PI3K-Akt signaling pathway	Route1278	P2	FOXO3	FASLG
46	n30	FOS	"n30,n324,n277"	"FOS,TBX21,IFNG,IL12RB1,IL12RB2,Th1 Cellular immunity (Inflammation)"	Th1 and Th2 cell differentiation	Route1494	P2	FOS	IFNG
47	n30	FOS	"n30,n327,n278"	"FOS,MAF,IL5,IL13,IL2,IL4,IL2RA,IL4R,GATA3,Th2 Humoral Immunity (Antibody production)"	Th1 and Th2 cell differentiation	Route1493	P2	FOS	IL4
48	n32	STAT3	"n32,n147"	"STAT3,NPY,AGRP"	Adipocytokine signaling pathway	Route33	P2	STAT3	NPY
49	n329	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"n329,n328"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN,PTGS2,ICAM1,SELE,VCAM1,NOD2,EDN1,VEGFC,MMP9,MMP3,MMP14,JUNB,JUN,FOS,BCL3,NFKBIA,SOCS3,TNFAIP3,TRAF1,LTA,TNF,LIF,IL15,IL6,IL1B,FAS,IL18R1,JAG1,CSF2,CSF1,CXCL5,CXCL10,CX3CL1,CXCL1,CXCL2,CXCL3,CXCL1,CXCL2,CXCL3,CCL5,CCL2,CCL20,CXCL1,CXCL2,CXCL3"	TNF signaling pathway	Route1655	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	TNF
50	n329	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"n329,n328"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN,PTGS2,ICAM1,SELE,VCAM1,NOD2,EDN1,VEGFC,MMP9,MMP3,MMP14,JUNB,JUN,FOS,BCL3,NFKBIA,SOCS3,TNFAIP3,TRAF1,LTA,TNF,LIF,IL15,IL6,IL1B,FAS,IL18R1,JAG1,CSF2,CSF1,CXCL5,CXCL10,CX3CL1,CXCL1,CXCL2,CXCL3,CXCL1,CXCL2,CXCL3,CCL5,CCL2,CCL20,CXCL1,CXCL2,CXCL3"	TNF signaling pathway	Route1655	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	EDN1
51	n329	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"n329,n328"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN,PTGS2,ICAM1,SELE,VCAM1,NOD2,EDN1,VEGFC,MMP9,MMP3,MMP14,JUNB,JUN,FOS,BCL3,NFKBIA,SOCS3,TNFAIP3,TRAF1,LTA,TNF,LIF,IL15,IL6,IL1B,FAS,IL18R1,JAG1,CSF2,CSF1,CXCL5,CXCL10,CX3CL1,CXCL1,CXCL2,CXCL3,CXCL1,CXCL2,CXCL3,CCL5,CCL2,CCL20,CXCL1,CXCL2,CXCL3"	TNF signaling pathway	Route1655	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	IL6
52	n329	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"n329,n328"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN,PTGS2,ICAM1,SELE,VCAM1,NOD2,EDN1,VEGFC,MMP9,MMP3,MMP14,JUNB,JUN,FOS,BCL3,NFKBIA,SOCS3,TNFAIP3,TRAF1,LTA,TNF,LIF,IL15,IL6,IL1B,FAS,IL18R1,JAG1,CSF2,CSF1,CXCL5,CXCL10,CX3CL1,CXCL1,CXCL2,CXCL3,CXCL1,CXCL2,CXCL3,CCL5,CCL2,CCL20,CXCL1,CXCL2,CXCL3"	TNF signaling pathway	Route1655	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	ICAM1
53	n329	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"n329,n328"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN,PTGS2,ICAM1,SELE,VCAM1,NOD2,EDN1,VEGFC,MMP9,MMP3,MMP14,JUNB,JUN,FOS,BCL3,NFKBIA,SOCS3,TNFAIP3,TRAF1,LTA,TNF,LIF,IL15,IL6,IL1B,FAS,IL18R1,JAG1,CSF2,CSF1,CXCL5,CXCL10,CX3CL1,CXCL1,CXCL2,CXCL3,CXCL1,CXCL2,CXCL3,CCL5,CCL2,CCL20,CXCL1,CXCL2,CXCL3"	TNF signaling pathway	Route1655	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	IL1B
54	n329	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"n329,n328"	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN,PTGS2,ICAM1,SELE,VCAM1,NOD2,EDN1,VEGFC,MMP9,MMP3,MMP14,JUNB,JUN,FOS,BCL3,NFKBIA,SOCS3,TNFAIP3,TRAF1,LTA,TNF,LIF,IL15,IL6,IL1B,FAS,IL18R1,JAG1,CSF2,CSF1,CXCL5,CXCL10,CX3CL1,CXCL1,CXCL2,CXCL3,CXCL1,CXCL2,CXCL3,CCL5,CCL2,CCL20,CXCL1,CXCL2,CXCL3"	TNF signaling pathway	Route1655	P2	"CREB3,CREB1,ATF2,ATF6B,CREB3L4,ATF4,CREB3L2,CREB3L3,CREB3L1,CREB5,CEBPB,FOS,JUN"	"LTA,TNF"
55	n34	"AKT3,AKT1,AKT2"	"n34,n29"	"AKT3,AKT1,AKT2,TNF"	Fc epsilon RI signaling pathway	Route712	P2	"AKT3,AKT1,AKT2"	TNF
56	n34	"FOS,JUN"	"n34,n253,n235"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1454	P2	"FOS,JUN"	TNF
57	n34	"FOS,JUN"	"n34,n253,n233"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1455	P2	"FOS,JUN"	TNF
58	n34	"FOS,JUN"	"n34,n253,n234"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1456	P2	"FOS,JUN"	TNF
59	n34	"FOS,JUN"	"n34,n253,n235"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1454	P2	"FOS,JUN"	IFNG
60	n34	"FOS,JUN"	"n34,n253,n233"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1455	P2	"FOS,JUN"	IFNG
61	n34	"FOS,JUN"	"n34,n253,n234"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1456	P2	"FOS,JUN"	IFNG
62	n34	"AKT3,AKT1,AKT2"	"n34,n156"	"AKT3,AKT1,AKT2,IL4,IL13"	Fc epsilon RI signaling pathway	Route714	P2	"AKT3,AKT1,AKT2"	IL4
63	n34	"FOS,JUN"	"n34,n253,n235"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1454	P2	"FOS,JUN"	IL4
64	n34	"FOS,JUN"	"n34,n253,n233"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1455	P2	"FOS,JUN"	IL4
65	n34	"FOS,JUN"	"n34,n253,n234"	"FOS,JUN,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1456	P2	"FOS,JUN"	IL4
66	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n235"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1457	P2	"NFATC1,NFATC2,NFATC3"	TNF
67	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n233"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1458	P2	"NFATC1,NFATC2,NFATC3"	TNF
68	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n234"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1459	P2	"NFATC1,NFATC2,NFATC3"	TNF
69	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n235"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1457	P2	"NFATC1,NFATC2,NFATC3"	IFNG
70	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n233"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1458	P2	"NFATC1,NFATC2,NFATC3"	IFNG
71	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n234"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1459	P2	"NFATC1,NFATC2,NFATC3"	IFNG
72	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n235"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Immuno Response"	T cell receptor signaling pathway	Route1457	P2	"NFATC1,NFATC2,NFATC3"	IL4
73	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n233"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Proliferation"	T cell receptor signaling pathway	Route1458	P2	"NFATC1,NFATC2,NFATC3"	IL4
74	n35	"NFATC1,NFATC2,NFATC3"	"n35,n253,n234"	"NFATC1,NFATC2,NFATC3,CDK4,TNF,CSF2,IFNG,IL10,IL5,IL4,IL2,Differentiation"	T cell receptor signaling pathway	Route1459	P2	"NFATC1,NFATC2,NFATC3"	IL4
75	n355	"RELA,RELB"	"n355,n1060"	"RELA,RELB,IL12B,IL12A,IL1B"	C-type lectin receptor signaling pathway	Route463	P2	"RELA,RELB"	IL1B
76	n356	"NFKB1,RELA"	"n356,n1057"	"NFKB1,RELA,IL12A,IL12B,IL23A,TNF,IL1B,IL6,IL10"	C-type lectin receptor signaling pathway	Route464	P2	"NFKB1,RELA"	TNF
77	n356	"NFKB1,RELA"	"n356,n1057"	"NFKB1,RELA,IL12A,IL12B,IL23A,TNF,IL1B,IL6,IL10"	C-type lectin receptor signaling pathway	Route464	P2	"NFKB1,RELA"	IL6
78	n356	"NFKB1,RELA"	"n356,n1057"	"NFKB1,RELA,IL12A,IL12B,IL23A,TNF,IL1B,IL6,IL10"	C-type lectin receptor signaling pathway	Route464	P2	"NFKB1,RELA"	IL1B
79	n357	"NFKB1,RELA"	"n357,n1061"	"NFKB1,RELA,IL6,IL1B,TNF,IL23A"	C-type lectin receptor signaling pathway	Route465	P2	"NFKB1,RELA"	TNF
80	n357	"NFKB1,RELA"	"n357,n1061"	"NFKB1,RELA,IL6,IL1B,TNF,IL23A"	C-type lectin receptor signaling pathway	Route465	P2	"NFKB1,RELA"	IL6
81	n357	"NFKB1,RELA"	"n357,n1061"	"NFKB1,RELA,IL6,IL1B,TNF,IL23A"	C-type lectin receptor signaling pathway	Route465	P2	"NFKB1,RELA"	IL1B
82	n358	"NFKB1,RELA"	"n358,n1062"	"NFKB1,RELA,IL12B,IL12A,IL10,IL6"	C-type lectin receptor signaling pathway	Route466	P2	"NFKB1,RELA"	IL6
83	n36	"MAPK14,MAPK11,MAPK13,MAPK12"	"n36,n29"	"MAPK14,MAPK11,MAPK13,MAPK12,TNF"	Fc epsilon RI signaling pathway	Route715	P2	"MAPK14,MAPK11,MAPK13,MAPK12"	TNF
84	n36	FOXO4	"n36,n37"	"FOXO4,FASLG"	Ras signaling pathway	Route1361	P2	FOXO4	FASLG
85	n36	"MAPK14,MAPK11,MAPK13,MAPK12"	"n36,n156"	"MAPK14,MAPK11,MAPK13,MAPK12,IL4,IL13"	Fc epsilon RI signaling pathway	Route716	P2	"MAPK14,MAPK11,MAPK13,MAPK12"	IL4
86	n360	"BCL3,NFKB1"	"n360,n1064"	"BCL3,NFKB1,IL6,IL12B,IL12A,IL23A"	C-type lectin receptor signaling pathway	Route468	P2	"BCL3,NFKB1"	IL6
87	n362	"NFKB1,RELA"	"n362,n1065"	"NFKB1,RELA,IL1B,IL12A,IL12B,IL6,IL23A"	C-type lectin receptor signaling pathway	Route471	P2	"NFKB1,RELA"	IL6
88	n362	"NFKB1,RELA"	"n362,n1065"	"NFKB1,RELA,IL1B,IL12A,IL12B,IL6,IL23A"	C-type lectin receptor signaling pathway	Route471	P2	"NFKB1,RELA"	IL1B
89	n38	STAT1	"n38,n324,n277"	"STAT1,TBX21,IFNG,IL12RB1,IL12RB2,Th1 Cellular immunity (Inflammation)"	Th1 and Th2 cell differentiation	Route1495	P2	STAT1	IFNG
