ULRID	C1-R1-TFs-ids	C1-R1-TFs-genes	C1-R1-ids	C1-R1-genes	C1-R1-PW	C1-R1-ID	C1-R1-TYPE	SocektPairs_TF	SocketPairs_Ligand
28	NA	NA	NA	NA	NA	NA	NA	SALL4	CDH1
29	NA	NA	NA	NA	NA	NA	NA	ZNF281	CDH1
30	NA	NA	NA	NA	NA	NA	NA	PRDM14	CDH1
31	NA	NA	NA	NA	NA	NA	NA	SIN3A	CDH1
32	NA	NA	NA	NA	NA	NA	NA	RCOR1	CDH1
33	NA	NA	NA	NA	NA	NA	NA	BACH1	CDH1
34	NA	NA	NA	NA	NA	NA	NA	NR0B1	CDH1
35	NA	NA	NA	NA	NA	NA	NA	NR1I2	CDH1
36	NA	NA	NA	NA	NA	NA	NA	ESR2	CDH1
37	NA	NA	NA	NA	NA	NA	NA	SMAD4	GPC3
38	NA	NA	NA	NA	NA	NA	NA	E2F1	GPC3
39	NA	NA	NA	NA	NA	NA	NA	MYC	GPC3
40	NA	NA	NA	NA	NA	NA	NA	NANOG	GPC3
41	NA	NA	NA	NA	NA	NA	NA	POU5F1	GPC3
42	NA	NA	NA	NA	NA	NA	NA	TCF3	GPC3
43	NA	NA	NA	NA	NA	NA	NA	TP53	GPC3
44	NA	NA	NA	NA	NA	NA	NA	HNF4A	GPC3
45	NA	NA	NA	NA	NA	NA	NA	REST	GPC3
46	NA	NA	NA	NA	NA	NA	NA	TRIM28	GPC3
47	NA	NA	NA	NA	NA	NA	NA	SOX9	GPC3
48	NA	NA	NA	NA	NA	NA	NA	TEAD4	GPC3
49	NA	NA	NA	NA	NA	NA	NA	PRDM14	GPC3
50	NA	NA	NA	NA	NA	NA	NA	EZH2	GPC3
51	NA	NA	NA	NA	NA	NA	NA	RNF2	GPC3
52	NA	NA	NA	NA	NA	NA	NA	SUZ12	GPC3
53	NA	NA	NA	NA	NA	NA	NA	JUN	GPC3
54	NA	NA	NA	NA	NA	NA	NA	CEBPB	GPC3
55	NA	NA	NA	NA	NA	NA	NA	PRDM5	GPC3
56	NA	NA	NA	NA	NA	NA	NA	GLI1	GPC3
57	NA	NA	NA	NA	NA	NA	NA	TP63	INS
58	NA	NA	NA	NA	NA	NA	NA	RAD21	INS
59	NA	NA	NA	NA	NA	NA	NA	PDX1	INS
60	NA	NA	NA	NA	NA	NA	NA	TCF21	INS
61	NA	NA	NA	NA	NA	NA	NA	AR	IGF2
62	NA	NA	NA	NA	NA	NA	NA	TCF4	IGF2
63	NA	NA	NA	NA	NA	NA	NA	FLI1	IGF2
64	NA	NA	NA	NA	NA	NA	NA	MYC	IGF2
65	NA	NA	NA	NA	NA	NA	NA	KLF4	IGF2
66	NA	NA	NA	NA	NA	NA	NA	NANOG	IGF2
67	NA	NA	NA	NA	NA	NA	NA	TCF3	IGF2
68	NA	NA	NA	NA	NA	NA	NA	EGR1	IGF2
69	NA	NA	NA	NA	NA	NA	NA	TP53	IGF2
70	NA	NA	NA	NA	NA	NA	NA	SETDB1	IGF2
71	NA	NA	NA	NA	NA	NA	NA	WT1	IGF2
72	NA	NA	NA	NA	NA	NA	NA	DMRT1	IGF2
73	NA	NA	NA	NA	NA	NA	NA	KLF1	IGF2
74	NA	NA	NA	NA	NA	NA	NA	BMI1	IGF2
75	NA	NA	NA	NA	NA	NA	NA	EED	IGF2
76	NA	NA	NA	NA	NA	NA	NA	PHC1	IGF2
77	NA	NA	NA	NA	NA	NA	NA	EZH2	IGF2
78	NA	NA	NA	NA	NA	NA	NA	RNF2	IGF2
79	NA	NA	NA	NA	NA	NA	NA	JARID2	IGF2
80	NA	NA	NA	NA	NA	NA	NA	MTF2	IGF2
81	NA	NA	NA	NA	NA	NA	NA	SUZ12	IGF2
82	NA	NA	NA	NA	NA	NA	NA	CDX2	IGF2
83	NA	NA	NA	NA	NA	NA	NA	AR	GNAI2
84	NA	NA	NA	NA	NA	NA	NA	TP63	GNAI2
85	NA	NA	NA	NA	NA	NA	NA	CREB1	GNAI2
86	NA	NA	NA	NA	NA	NA	NA	CREM	GNAI2
87	NA	NA	NA	NA	NA	NA	NA	E2F1	GNAI2
88	NA	NA	NA	NA	NA	NA	NA	FLI1	GNAI2
89	NA	NA	NA	NA	NA	NA	NA	RUNX1	GNAI2
90	NA	NA	NA	NA	NA	NA	NA	SPI1	GNAI2
91	NA	NA	NA	NA	NA	NA	NA	NANOG	GNAI2
92	NA	NA	NA	NA	NA	NA	NA	POU5F1	GNAI2
93	NA	NA	NA	NA	NA	NA	NA	SOX2	GNAI2
94	NA	NA	NA	NA	NA	NA	NA	TCF3	GNAI2
95	NA	NA	NA	NA	NA	NA	NA	EGR1	GNAI2
96	NA	NA	NA	NA	NA	NA	NA	SIN3B	GNAI2
97	NA	NA	NA	NA	NA	NA	NA	ASH2L	GNAI2
98	NA	NA	NA	NA	NA	NA	NA	TFAP2C	GNAI2
99	NA	NA	NA	NA	NA	NA	NA	FOXP1	GNAI2
100	NA	NA	NA	NA	NA	NA	NA	PPARD	GNAI2
101	NA	NA	NA	NA	NA	NA	NA	TAL1	GNAI2
102	NA	NA	NA	NA	NA	NA	NA	TRIM28	GNAI2
103	NA	NA	NA	NA	NA	NA	NA	SOX9	GNAI2
104	NA	NA	NA	NA	NA	NA	NA	EP300	GNAI2
105	NA	NA	NA	NA	NA	NA	NA	DMRT1	GNAI2
106	NA	NA	NA	NA	NA	NA	NA	PRDM14	GNAI2
107	NA	NA	NA	NA	NA	NA	NA	KLF1	GNAI2
108	NA	NA	NA	NA	NA	NA	NA	TFCP2L1	GNAI2
109	NA	NA	NA	NA	NA	NA	NA	CUX1	GNAI2
110	NA	NA	NA	NA	NA	NA	NA	SCLY	GNAI2
111	NA	NA	NA	NA	NA	NA	NA	HOXB4	GNAI2
112	NA	NA	NA	NA	NA	NA	NA	YY1	GNAI2
113	NA	NA	NA	NA	NA	NA	NA	STAT4	GNAI2
114	NA	NA	NA	NA	NA	NA	NA	TCF7	GNAI2
115	NA	NA	NA	NA	NA	NA	NA	MYB	GNAI2
116	NA	NA	NA	NA	NA	NA	NA	RELA	GNAI2
117	NA	NA	NA	NA	NA	NA	NA	EWSR1	GNAI2
118	NA	NA	NA	NA	NA	NA	NA	RBPJ	GNAI2
119	NA	NA	NA	NA	NA	NA	NA	NFE2L2	IGF1
120	NA	NA	NA	NA	NA	NA	NA	AR	IGF1
121	NA	NA	NA	NA	NA	NA	NA	STAT3	IGF1
122	NA	NA	NA	NA	NA	NA	NA	TCF4	IGF1
123	NA	NA	NA	NA	NA	NA	NA	SMAD4	IGF1
124	NA	NA	NA	NA	NA	NA	NA	TP63	IGF1
125	NA	NA	NA	NA	NA	NA	NA	E2F1	IGF1
126	NA	NA	NA	NA	NA	NA	NA	FLI1	IGF1
127	NA	NA	NA	NA	NA	NA	NA	MYC	IGF1
128	NA	NA	NA	NA	NA	NA	NA	NANOG	IGF1
129	NA	NA	NA	NA	NA	NA	NA	POU5F1	IGF1
130	NA	NA	NA	NA	NA	NA	NA	SOX2	IGF1
131	NA	NA	NA	NA	NA	NA	NA	TCF3	IGF1
132	NA	NA	NA	NA	NA	NA	NA	PPARG	IGF1
133	NA	NA	NA	NA	NA	NA	NA	HNF4A	IGF1
134	NA	NA	NA	NA	NA	NA	NA	EP300	IGF1
135	NA	NA	NA	NA	NA	NA	NA	ESR1	IGF1
136	NA	NA	NA	NA	NA	NA	NA	SOX17	IGF1
137	NA	NA	NA	NA	NA	NA	NA	GATA4	IGF1
138	NA	NA	NA	NA	NA	NA	NA	BMI1	IGF1
139	NA	NA	NA	NA	NA	NA	NA	SUZ12	IGF1
140	NA	NA	NA	NA	NA	NA	NA	TFAP2A	IGF1
141	NA	NA	NA	NA	NA	NA	NA	NUCKS1	IGF1
142	NA	NA	NA	NA	NA	NA	NA	BACH1	IGF1
143	NA	NA	NA	NA	NA	NA	NA	RBPJ	IGF1
144	NA	NA	NA	NA	NA	NA	NA	THRA	IGF1
145	NA	NA	NA	NA	NA	NA	NA	VDR	CAMP
146	NA	NA	NA	NA	NA	NA	NA	AR	CAMP
147	NA	NA	NA	NA	NA	NA	NA	TP63	CAMP
148	NA	NA	NA	NA	NA	NA	NA	SPI1	CAMP
149	NA	NA	NA	NA	NA	NA	NA	PPARG	CAMP
150	NA	NA	NA	NA	NA	NA	NA	TFAP2C	CAMP
151	NA	NA	NA	NA	NA	NA	NA	MYCN	CAMP
152	NA	NA	NA	NA	NA	NA	NA	JUN	CAMP
153	NA	NA	NA	NA	NA	NA	NA	EWSR1	CAMP
154	NA	NA	NA	NA	NA	NA	NA	RBPJ	CAMP
155	NA	NA	NA	NA	NA	NA	NA	STAT1	CAMP
156	NA	NA	NA	NA	NA	NA	NA	NA	AFDN
157	NA	NA	NA	NA	NA	NA	NA	TCF4	TGFB1
158	NA	NA	NA	NA	NA	NA	NA	TP63	TGFB1
159	NA	NA	NA	NA	NA	NA	NA	FLI1	TGFB1
160	NA	NA	NA	NA	NA	NA	NA	RUNX1	TGFB1
161	NA	NA	NA	NA	NA	NA	NA	MYC	TGFB1
162	NA	NA	NA	NA	NA	NA	NA	SPI1	TGFB1
163	NA	NA	NA	NA	NA	NA	NA	KLF4	TGFB1
164	NA	NA	NA	NA	NA	NA	NA	EGR1	TGFB1
165	NA	NA	NA	NA	NA	NA	NA	GATA1	TGFB1
166	NA	NA	NA	NA	NA	NA	NA	GATA2	TGFB1
167	NA	NA	NA	NA	NA	NA	NA	E2F4	TGFB1
168	NA	NA	NA	NA	NA	NA	NA	TET1	TGFB1
169	NA	NA	NA	NA	NA	NA	NA	GFI1B	TGFB1
170	NA	NA	NA	NA	NA	NA	NA	TAL1	TGFB1
171	NA	NA	NA	NA	NA	NA	NA	WT1	TGFB1
172	NA	NA	NA	NA	NA	NA	NA	ZNF281	TGFB1
173	NA	NA	NA	NA	NA	NA	NA	KLF1	TGFB1
174	NA	NA	NA	NA	NA	NA	NA	MECOM	TGFB1
175	NA	NA	NA	NA	NA	NA	NA	STAT4	TGFB1
176	NA	NA	NA	NA	NA	NA	NA	CTCF	TGFB1
177	NA	NA	NA	NA	NA	NA	NA	EZH2	TGFB1
178	NA	NA	NA	NA	NA	NA	NA	RNF2	TGFB1
179	NA	NA	NA	NA	NA	NA	NA	MTF2	TGFB1
180	NA	NA	NA	NA	NA	NA	NA	SUZ12	TGFB1
181	NA	NA	NA	NA	NA	NA	NA	LMO2	TGFB1
182	NA	NA	NA	NA	NA	NA	NA	LYL1	TGFB1
183	NA	NA	NA	NA	NA	NA	NA	MEIS1	TGFB1
184	NA	NA	NA	NA	NA	NA	NA	RUNX1	GNB3
185	NA	NA	NA	NA	NA	NA	NA	SPI1	GNB3
186	NA	NA	NA	NA	NA	NA	NA	NANOG	GNB3
187	NA	NA	NA	NA	NA	NA	NA	POU5F1	GNB3
188	NA	NA	NA	NA	NA	NA	NA	FOXP1	GNB3
189	NA	NA	NA	NA	NA	NA	NA	PPARD	GNB3
190	NA	NA	NA	NA	NA	NA	NA	ERG	GNB3
191	NA	NA	NA	NA	NA	NA	NA	SOX9	GNB3
192	NA	NA	NA	NA	NA	NA	NA	SRY	GNB3
193	NA	NA	NA	NA	NA	NA	NA	CUX1	GNB3
194	NA	NA	NA	NA	NA	NA	NA	MYBL2	GNB3
195	NA	NA	NA	NA	NA	NA	NA	YY1	GNB3
196	NA	NA	NA	NA	NA	NA	NA	ELF5	GNB3
197	NA	NA	NA	NA	NA	NA	NA	CEBPB	GNB3
198	NA	NA	NA	NA	NA	NA	NA	SREBF2	GNB3
199	NA	NA	NA	NA	NA	NA	NA	ELF1	GNB3
200	NA	NA	NA	NA	NA	NA	NA	RBPJ	GNB3
201	NA	NA	NA	NA	NA	NA	NA	STAT3	TGFB3
202	NA	NA	NA	NA	NA	NA	NA	SMAD4	TGFB3
203	NA	NA	NA	NA	NA	NA	NA	TP63	TGFB3
204	NA	NA	NA	NA	NA	NA	NA	E2F1	TGFB3
205	NA	NA	NA	NA	NA	NA	NA	HNF4A	TGFB3
206	NA	NA	NA	NA	NA	NA	NA	E2F4	TGFB3
207	NA	NA	NA	NA	NA	NA	NA	PPARD	TGFB3
208	NA	NA	NA	NA	NA	NA	NA	EP300	TGFB3
209	NA	NA	NA	NA	NA	NA	NA	WT1	TGFB3
210	NA	NA	NA	NA	NA	NA	NA	RBPJ	TGFB3
211	NA	NA	NA	NA	NA	NA	NA	RARG	TGFB3
212	NA	NA	NA	NA	NA	NA	NA	PAX3	CGN
213	NA	NA	NA	NA	NA	NA	NA	SPI1	CGN
214	NA	NA	NA	NA	NA	NA	NA	SOX2	CGN
215	NA	NA	NA	NA	NA	NA	NA	MITF	CGN
216	NA	NA	NA	NA	NA	NA	NA	HNF4A	CGN
217	NA	NA	NA	NA	NA	NA	NA	SIN3B	CGN
218	NA	NA	NA	NA	NA	NA	NA	SETDB1	CGN
219	NA	NA	NA	NA	NA	NA	NA	TET1	CGN
220	NA	NA	NA	NA	NA	NA	NA	TAL1	CGN
221	NA	NA	NA	NA	NA	NA	NA	ESR1	CGN
222	NA	NA	NA	NA	NA	NA	NA	DMRT1	CGN
223	NA	NA	NA	NA	NA	NA	NA	TEAD4	CGN
224	NA	NA	NA	NA	NA	NA	NA	ATF3	CGN
225	NA	NA	NA	NA	NA	NA	NA	SMAD2	CGN
226	NA	NA	NA	NA	NA	NA	NA	SMAD3	CGN
227	NA	NA	NA	NA	NA	NA	NA	LMO2	CGN
228	NA	NA	NA	NA	NA	NA	NA	TFEB	CGN
229	NA	NA	NA	NA	NA	NA	NA	ESR2	CGN
230	NA	NA	NA	NA	NA	NA	NA	CHD7	CGN
231	NA	NA	NA	NA	NA	NA	NA	ARNT	TGFB2
232	NA	NA	NA	NA	NA	NA	NA	ZNF217	TGFB2
233	NA	NA	NA	NA	NA	NA	NA	PAX3	TGFB2
234	NA	NA	NA	NA	NA	NA	NA	NFE2L2	TGFB2
235	NA	NA	NA	NA	NA	NA	NA	TCF4	TGFB2
236	NA	NA	NA	NA	NA	NA	NA	MYC	TGFB2
237	NA	NA	NA	NA	NA	NA	NA	KLF4	TGFB2
238	NA	NA	NA	NA	NA	NA	NA	SOX2	TGFB2
239	NA	NA	NA	NA	NA	NA	NA	MITF	TGFB2
240	NA	NA	NA	NA	NA	NA	NA	TP53	TGFB2
241	NA	NA	NA	NA	NA	NA	NA	HNF4A	TGFB2
242	NA	NA	NA	NA	NA	NA	NA	GATA2	TGFB2
243	NA	NA	NA	NA	NA	NA	NA	RCOR3	TGFB2
244	NA	NA	NA	NA	NA	NA	NA	TRIM28	TGFB2
245	NA	NA	NA	NA	NA	NA	NA	EP300	TGFB2
246	NA	NA	NA	NA	NA	NA	NA	ESR1	TGFB2
247	NA	NA	NA	NA	NA	NA	NA	OLIG2	TGFB2
248	NA	NA	NA	NA	NA	NA	NA	SMARCA4	TGFB2
249	NA	NA	NA	NA	NA	NA	NA	YAP1	TGFB2
250	NA	NA	NA	NA	NA	NA	NA	ATF3	TGFB2
251	NA	NA	NA	NA	NA	NA	NA	SMAD2	TGFB2
252	NA	NA	NA	NA	NA	NA	NA	SMAD3	TGFB2
253	NA	NA	NA	NA	NA	NA	NA	YY1	TGFB2
254	NA	NA	NA	NA	NA	NA	NA	GATA4	TGFB2
255	NA	NA	NA	NA	NA	NA	NA	MEF2A	TGFB2
256	NA	NA	NA	NA	NA	NA	NA	EED	TGFB2
257	NA	NA	NA	NA	NA	NA	NA	EZH2	TGFB2
258	NA	NA	NA	NA	NA	NA	NA	RNF2	TGFB2
259	NA	NA	NA	NA	NA	NA	NA	JARID2	TGFB2
260	NA	NA	NA	NA	NA	NA	NA	MTF2	TGFB2
261	NA	NA	NA	NA	NA	NA	NA	SUZ12	TGFB2
262	NA	NA	NA	NA	NA	NA	NA	CTNNB1	TGFB2
263	NA	NA	NA	NA	NA	NA	NA	CEBPB	TGFB2
264	NA	NA	NA	NA	NA	NA	NA	ELF1	TGFB2
265	NA	NA	NA	NA	NA	NA	NA	RBPJ	TGFB2
266	NA	NA	NA	NA	NA	NA	NA	IRF8	TGFB2
267	NA	NA	NA	NA	NA	NA	NA	ESR2	TGFB2
268	NA	NA	NA	NA	NA	NA	NA	KDM5A	GDF9
269	NA	NA	NA	NA	NA	NA	NA	DACH1	GDF9
270	NA	NA	NA	NA	NA	NA	NA	AR	GDF9
271	NA	NA	NA	NA	NA	NA	NA	MYC	GDF9
272	NA	NA	NA	NA	NA	NA	NA	HNF4A	GDF9
273	NA	NA	NA	NA	NA	NA	NA	GFI1B	GDF9
274	NA	NA	NA	NA	NA	NA	NA	SMARCA4	GDF9
275	NA	NA	NA	NA	NA	NA	NA	CCND1	GDF9
276	NA	NA	NA	NA	NA	NA	NA	HOXB4	GDF9
277	NA	NA	NA	NA	NA	NA	NA	STAT4	GDF9
278	NA	NA	NA	NA	NA	NA	NA	BACH1	GDF9
279	NA	NA	NA	NA	NA	NA	NA	TBP	GDF9
280	NA	NA	NA	NA	NA	NA	NA	STAT3	ACVR1
281	NA	NA	NA	NA	NA	NA	NA	TCF4	ACVR1
282	NA	NA	NA	NA	NA	NA	NA	FLI1	ACVR1
283	NA	NA	NA	NA	NA	NA	NA	SPI1	ACVR1
284	NA	NA	NA	NA	NA	NA	NA	NANOG	ACVR1
285	NA	NA	NA	NA	NA	NA	NA	SOX2	ACVR1
286	NA	NA	NA	NA	NA	NA	NA	TCF3	ACVR1
287	NA	NA	NA	NA	NA	NA	NA	TP53	ACVR1
288	NA	NA	NA	NA	NA	NA	NA	PPARG	ACVR1
289	NA	NA	NA	NA	NA	NA	NA	HNF4A	ACVR1
290	NA	NA	NA	NA	NA	NA	NA	GATA1	ACVR1
291	NA	NA	NA	NA	NA	NA	NA	GATA2	ACVR1
292	NA	NA	NA	NA	NA	NA	NA	REST	ACVR1
293	NA	NA	NA	NA	NA	NA	NA	PPARD	ACVR1
294	NA	NA	NA	NA	NA	NA	NA	TRIM28	ACVR1
295	NA	NA	NA	NA	NA	NA	NA	SMARCA4	ACVR1
296	NA	NA	NA	NA	NA	NA	NA	SALL4	ACVR1
297	NA	NA	NA	NA	NA	NA	NA	RUNX2	ACVR1
298	NA	NA	NA	NA	NA	NA	NA	CUX1	ACVR1
299	NA	NA	NA	NA	NA	NA	NA	SCLY	ACVR1
300	NA	NA	NA	NA	NA	NA	NA	MTF2	ACVR1
301	NA	NA	NA	NA	NA	NA	NA	NR1I2	ACVR1
302	NA	NA	NA	NA	NA	NA	NA	VDR	ACVR1B
303	NA	NA	NA	NA	NA	NA	NA	TCF4	ACVR1B
304	NA	NA	NA	NA	NA	NA	NA	TP63	ACVR1B
305	NA	NA	NA	NA	NA	NA	NA	CREB1	ACVR1B
306	NA	NA	NA	NA	NA	NA	NA	CREM	ACVR1B
307	NA	NA	NA	NA	NA	NA	NA	E2F1	ACVR1B
308	NA	NA	NA	NA	NA	NA	NA	KLF4	ACVR1B
309	NA	NA	NA	NA	NA	NA	NA	NANOG	ACVR1B
310	NA	NA	NA	NA	NA	NA	NA	POU5F1	ACVR1B
311	NA	NA	NA	NA	NA	NA	NA	SOX2	ACVR1B
312	NA	NA	NA	NA	NA	NA	NA	EGR1	ACVR1B
313	NA	NA	NA	NA	NA	NA	NA	TP53	ACVR1B
314	NA	NA	NA	NA	NA	NA	NA	HNF4A	ACVR1B
315	NA	NA	NA	NA	NA	NA	NA	GATA1	ACVR1B
316	NA	NA	NA	NA	NA	NA	NA	GATA2	ACVR1B
317	NA	NA	NA	NA	NA	NA	NA	REST	ACVR1B
318	NA	NA	NA	NA	NA	NA	NA	SETDB1	ACVR1B
319	NA	NA	NA	NA	NA	NA	NA	FOXP1	ACVR1B
320	NA	NA	NA	NA	NA	NA	NA	TET1	ACVR1B
321	NA	NA	NA	NA	NA	NA	NA	TAL1	ACVR1B
322	NA	NA	NA	NA	NA	NA	NA	SOX9	ACVR1B
323	NA	NA	NA	NA	NA	NA	NA	PRDM14	ACVR1B
324	NA	NA	NA	NA	NA	NA	NA	TBX5	ACVR1B
325	NA	NA	NA	NA	NA	NA	NA	EZH2	ACVR1B
326	NA	NA	NA	NA	NA	NA	NA	MYB	ACVR1B
327	NA	NA	NA	NA	NA	NA	NA	MEIS1	ACVR1B
328	NA	NA	NA	NA	NA	NA	NA	CDX2	ACVR1B
329	NA	NA	NA	NA	NA	NA	NA	SREBF2	ACVR1B
330	NA	NA	NA	NA	NA	NA	NA	STAT3	ACVR1C
331	NA	NA	NA	NA	NA	NA	NA	TCF4	ACVR1C
332	NA	NA	NA	NA	NA	NA	NA	MYC	ACVR1C
333	NA	NA	NA	NA	NA	NA	NA	SOX2	ACVR1C
334	NA	NA	NA	NA	NA	NA	NA	SETDB1	ACVR1C
335	NA	NA	NA	NA	NA	NA	NA	TET1	ACVR1C
336	NA	NA	NA	NA	NA	NA	NA	SOX9	ACVR1C
337	NA	NA	NA	NA	NA	NA	NA	CTCF	ACVR1C
338	NA	NA	NA	NA	NA	NA	NA	BMI1	ACVR1C
339	NA	NA	NA	NA	NA	NA	NA	MTF2	ACVR1C
340	NA	NA	NA	NA	NA	NA	NA	SUZ12	ACVR1C
341	NA	NA	NA	NA	NA	NA	NA	POU3F2	ACVR1C
342	NA	NA	NA	NA	NA	NA	NA	RCOR1	ACVR1C
343	NA	NA	NA	NA	NA	NA	NA	HOXD13	ACVR1C
344	NA	NA	NA	NA	NA	NA	NA	STAT3	TGFBR1
345	NA	NA	NA	NA	NA	NA	NA	SMAD4	TGFBR1
346	NA	NA	NA	NA	NA	NA	NA	TP63	TGFBR1
347	NA	NA	NA	NA	NA	NA	NA	FLI1	TGFBR1
348	NA	NA	NA	NA	NA	NA	NA	TCF3	TGFBR1
349	NA	NA	NA	NA	NA	NA	NA	EGR1	TGFBR1
350	NA	NA	NA	NA	NA	NA	NA	TP53	TGFBR1
351	NA	NA	NA	NA	NA	NA	NA	PPARG	TGFBR1
352	NA	NA	NA	NA	NA	NA	NA	GATA1	TGFBR1
353	NA	NA	NA	NA	NA	NA	NA	GATA2	TGFBR1
354	NA	NA	NA	NA	NA	NA	NA	E2F4	TGFBR1
355	NA	NA	NA	NA	NA	NA	NA	TFAP2C	TGFBR1
356	NA	NA	NA	NA	NA	NA	NA	FOXP1	TGFBR1
357	NA	NA	NA	NA	NA	NA	NA	MYCN	TGFBR1
358	NA	NA	NA	NA	NA	NA	NA	ERG	TGFBR1
359	NA	NA	NA	NA	NA	NA	NA	TAL1	TGFBR1
360	NA	NA	NA	NA	NA	NA	NA	SOX9	TGFBR1
361	NA	NA	NA	NA	NA	NA	NA	EP300	TGFBR1
362	NA	NA	NA	NA	NA	NA	NA	SMARCA4	TGFBR1
363	NA	NA	NA	NA	NA	NA	NA	ZNF281	TGFBR1
364	NA	NA	NA	NA	NA	NA	NA	DMRT1	TGFBR1
365	NA	NA	NA	NA	NA	NA	NA	CUX1	TGFBR1
366	NA	NA	NA	NA	NA	NA	NA	CCND1	TGFBR1
367	NA	NA	NA	NA	NA	NA	NA	BMI1	TGFBR1
368	NA	NA	NA	NA	NA	NA	NA	PHC1	TGFBR1
369	NA	NA	NA	NA	NA	NA	NA	RNF2	TGFBR1
370	NA	NA	NA	NA	NA	NA	NA	MTF2	TGFBR1
371	NA	NA	NA	NA	NA	NA	NA	SUZ12	TGFBR1
372	NA	NA	NA	NA	NA	NA	NA	NUCKS1	TGFBR1
373	NA	NA	NA	NA	NA	NA	NA	CEBPB	TGFBR1
374	NA	NA	NA	NA	NA	NA	NA	PRDM5	TGFBR1
375	NA	NA	NA	NA	NA	NA	NA	RBPJ	TGFBR1
376	NA	NA	NA	NA	NA	NA	NA	FOXO1	TGFBR1
377	NA	NA	NA	NA	NA	NA	NA	E2F1	FGF4
378	NA	NA	NA	NA	NA	NA	NA	SPI1	FGF4
379	NA	NA	NA	NA	NA	NA	NA	NANOG	FGF4
380	NA	NA	NA	NA	NA	NA	NA	POU5F1	FGF4
381	NA	NA	NA	NA	NA	NA	NA	SOX2	FGF4
382	NA	NA	NA	NA	NA	NA	NA	TCF3	FGF4
383	NA	NA	NA	NA	NA	NA	NA	EGR1	FGF4
384	NA	NA	NA	NA	NA	NA	NA	TP53	FGF4
385	NA	NA	NA	NA	NA	NA	NA	KDM5B	FGF4
386	NA	NA	NA	NA	NA	NA	NA	RCOR3	FGF4
387	NA	NA	NA	NA	NA	NA	NA	SIN3B	FGF4
388	NA	NA	NA	NA	NA	NA	NA	SETDB1	FGF4
389	NA	NA	NA	NA	NA	NA	NA	TET1	FGF4
390	NA	NA	NA	NA	NA	NA	NA	SALL4	FGF4
391	NA	NA	NA	NA	NA	NA	NA	ZNF281	FGF4
392	NA	NA	NA	NA	NA	NA	NA	NR3C1	FGF4
393	NA	NA	NA	NA	NA	NA	NA	BMI1	FGF4
394	NA	NA	NA	NA	NA	NA	NA	EZH2	FGF4
395	NA	NA	NA	NA	NA	NA	NA	NACC1	FGF4
396	NA	NA	NA	NA	NA	NA	NA	NR0B1	FGF4
397	NA	NA	NA	NA	NA	NA	NA	SREBF2	FGF4
398	NA	NA	NA	NA	NA	NA	NA	NANOG	FGF20
399	NA	NA	NA	NA	NA	NA	NA	POU5F1	FGF20
400	NA	NA	NA	NA	NA	NA	NA	SOX2	FGF20
401	NA	NA	NA	NA	NA	NA	NA	TCF3	FGF20
402	NA	NA	NA	NA	NA	NA	NA	KDM5B	FGF20
403	NA	NA	NA	NA	NA	NA	NA	REST	FGF20
404	NA	NA	NA	NA	NA	NA	NA	TRIM28	FGF20
405	NA	NA	NA	NA	NA	NA	NA	SOX9	FGF20
406	NA	NA	NA	NA	NA	NA	NA	SRY	FGF20
407	NA	NA	NA	NA	NA	NA	NA	EP300	FGF20
