DRRID	C2-R2-ID	C2-R2-PW	C2-R2-TYPE	C2-R2-ids	C2-R2-genes	C2-R2-RRecetors-ids	C2-R2-RRecetors-genes	C2-R2-RReceptors-type	C2-R2-RLigands-ids	C2-R2-RLigands-genes	C2-R2-RLigands-type	SocketPairs_Receptor
6359	Route6	Adherens junction	P1	n360,n364,n367	TGFBR1,TGFBR2,FGFR1,SMAD2,SMAD3,SMAD4,EP300,CREBBP,TCF7L2,TCF7,TCF7L1,LEF1	n360	TGFBR1,TGFBR2,FGFR1	OR_bundle				FGFR1
6360	Route7	Adherens junction	P1	n361,n368,n59,n367	EGFR,ERBB2,MET,FER,SRC,FYN,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n361	EGFR,ERBB2,MET	OR_bundle				EGFR
6361	Route7	Adherens junction	P1	n361,n368,n59,n367	EGFR,ERBB2,MET,FER,SRC,FYN,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n361	EGFR,ERBB2,MET	OR_bundle				ERBB2
6362	Route7	Adherens junction	P1	n361,n368,n59,n367	EGFR,ERBB2,MET,FER,SRC,FYN,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n361	EGFR,ERBB2,MET	OR_bundle				MET
6363	Route8	Adherens junction	P1	n361,n19,n369	EGFR,ERBB2,MET,MAPK1,MAPK3,SNAI2,SNAI1	n361	EGFR,ERBB2,MET	OR_bundle				EGFR
6364	Route8	Adherens junction	P1	n361,n19,n369	EGFR,ERBB2,MET,MAPK1,MAPK3,SNAI2,SNAI1	n361	EGFR,ERBB2,MET	OR_bundle				ERBB2
6365	Route8	Adherens junction	P1	n361,n19,n369	EGFR,ERBB2,MET,MAPK1,MAPK3,SNAI2,SNAI1	n361	EGFR,ERBB2,MET	OR_bundle				MET
6366	Route9	Adherens junction	P1	n361,n59,n367	EGFR,ERBB2,MET,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n361	EGFR,ERBB2,MET	OR_bundle				EGFR
6367	Route9	Adherens junction	P1	n361,n59,n367	EGFR,ERBB2,MET,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n361	EGFR,ERBB2,MET	OR_bundle				ERBB2
6368	Route9	Adherens junction	P1	n361,n59,n367	EGFR,ERBB2,MET,CTNNB1,TCF7L2,TCF7,TCF7L1,LEF1	n361	EGFR,ERBB2,MET	OR_bundle				MET
6369	Route10	Adherens junction	P1	n370,n68,n45,n44	ACP1,PTPRM,PTPRF,PTPRB,CTNNB1,CTNNA1,CTNNA2,CTNNA3,ACTB,ACTG1	n370	ACP1,PTPRM,PTPRF,PTPRB	OR_bundle				PTPRM
6370	Route10	Adherens junction	P1	n370,n68,n45,n44	ACP1,PTPRM,PTPRF,PTPRB,CTNNB1,CTNNA1,CTNNA2,CTNNA3,ACTB,ACTG1	n370	ACP1,PTPRM,PTPRF,PTPRB	OR_bundle				PTPRF
6371	Route10	Adherens junction	P1	n370,n68,n45,n44	ACP1,PTPRM,PTPRF,PTPRB,CTNNB1,CTNNA1,CTNNA2,CTNNA3,ACTB,ACTG1	n370	ACP1,PTPRM,PTPRF,PTPRB	OR_bundle				PTPRB
6372	Route13	Adipocytokine signaling pathway	P1	n14,n24,n162	LEP,LEPR,PPARA,RXRA,RXRB,RXRG	n24	LEPR	OR_bundle	n14	LEP	And_bundle	LEPR
6373	Route14	Adipocytokine signaling pathway	P1	n14,n24,n42,n32	LEP,LEPR,JAK2,STAT3	n24	LEPR	OR_bundle	n14	LEP	And_bundle	LEPR
6374	Route15	Adipocytokine signaling pathway	P1	n19,n22,n162	ADIPOQ,ADIPOR1,ADIPOR2,PPARA,RXRA,RXRB,RXRG	n22	ADIPOR1,ADIPOR2	OR_bundle	n19	ADIPOQ	And_bundle	ADIPOR1,ADIPOR2
6375	Route15	Adipocytokine signaling pathway	P1	n19,n22,n162	ADIPOQ,ADIPOR1,ADIPOR2,PPARA,RXRA,RXRB,RXRG	n22	ADIPOR1,ADIPOR2	OR_bundle	n19	ADIPOQ	And_bundle	ADIPOR1
6376	Route15	Adipocytokine signaling pathway	P1	n19,n22,n162	ADIPOQ,ADIPOR1,ADIPOR2,PPARA,RXRA,RXRB,RXRG	n22	ADIPOR1,ADIPOR2	OR_bundle	n19	ADIPOQ	And_bundle	ADIPOR2
6377	Route16	Adipocytokine signaling pathway	P1	n44,n38,n41,n36,n29,n5,n4	TNF,TNFRSF1A,TRADD,TRAF2,CHUK,IKBKB,IKBKG,NFKBIA,NFKBIB,NFKBIE,NFKB1,RELA	n38	TNFRSF1A	OR_bundle	n44	TNF	And_bundle	TNFRSF1A
6378	Route17	Adipocytokine signaling pathway	P1	n44,n30,n36,n29,n5,n4	TNF,TNFRSF1B,TRAF2,CHUK,IKBKB,IKBKG,NFKBIA,NFKBIB,NFKBIE,NFKB1,RELA	n30	TNFRSF1B	OR_bundle	n44	TNF	And_bundle	TNFRSF1B
6379	Route52	AMPK signaling pathway	P1	n2,n4,n8,n6,n9,n7,n5,n105,n92,n46,n63	INS,INSR,IRS1,IRS4,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,C05981,PDPK1,AKT3,AKT1,AKT2,TSC2,TSC1,RHEB,MTOR,RPTOR,AKT1S1,PPARG	n4	INSR	OR_bundle	n2	INS	And_bundle	INSR
6380	Route53	AMPK signaling pathway	P1	n2,n4,n8,n6,n9,n7,n5,n105,n92,n46,n103,n104	INS,INSR,IRS1,IRS4,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,C05981,PDPK1,AKT3,AKT1,AKT2,TSC2,TSC1,RHEB,MTOR,RPTOR,AKT1S1,ULK1,Autophagy - animal	n4	INSR	OR_bundle	n2	INS	And_bundle	INSR
6381	Route54	AMPK signaling pathway	P1	n13,n14,n8,n6,n9,n7,n5,n105,n92,n46,n63	IGF1,IGF1R,IRS1,IRS4,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,C05981,PDPK1,AKT3,AKT1,AKT2,TSC2,TSC1,RHEB,MTOR,RPTOR,AKT1S1,PPARG	n14	IGF1R	OR_bundle	n13	IGF1	And_bundle	IGF1R
6382	Route55	AMPK signaling pathway	P1	n13,n14,n8,n6,n9,n7,n5,n105,n92,n46,n103,n104	IGF1,IGF1R,IRS1,IRS4,IRS2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,C05981,PDPK1,AKT3,AKT1,AKT2,TSC2,TSC1,RHEB,MTOR,RPTOR,AKT1S1,ULK1,Autophagy - animal	n14	IGF1R	OR_bundle	n13	IGF1	And_bundle	IGF1R
6383	Route72	AMPK signaling pathway	P1	n86,n84,n85,n1,n51	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,HNF4A	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6384	Route73	AMPK signaling pathway	P1	n86,n84,n85,n1,n25	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PPARGC1A	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6385	Route74	AMPK signaling pathway	P1	n86,n84,n85,n1,n105,n92,n46,n63	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,TSC2,TSC1,RHEB,MTOR,RPTOR,AKT1S1,PPARG	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6386	Route75	AMPK signaling pathway	P1	n86,n84,n85,n1,n105,n92,n46,n103,n104	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,TSC2,TSC1,RHEB,MTOR,RPTOR,AKT1S1,ULK1,Autophagy - animal	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6387	Route76	AMPK signaling pathway	P1	n86,n84,n85,n1,n67	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,CRTC2	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6388	Route77	AMPK signaling pathway	P1	n86,n84,n85,n1,n46,n63	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,MTOR,RPTOR,AKT1S1,PPARG	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6389	Route78	AMPK signaling pathway	P1	n86,n84,n85,n1,n46,n103,n104	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,MTOR,RPTOR,AKT1S1,ULK1,Autophagy - animal	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6390	Route79	AMPK signaling pathway	P1	n86,n84,n85,n1,n55	LEP,LEPR,CAMKK2,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,SREBF1	n84	LEPR	OR_bundle	n86	LEP	And_bundle	LEPR
6391	Route86	Apelin signaling pathway	P1	n82,n2,n6,n7,n8,n44	APLN,APLNR,GNB5,GNAI1,GNAI2,GNAI3,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8,PIK3R6,PIK3R5,PIK3CG,AKT3,AKT1,AKT2,MAPK1,MAPK3	n2,n6	APLNR,GNB5,GNAI1,GNAI2,GNAI3,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8	OR_bundle,OR_bundle	n82	APLN	And_bundle	APLNR
6392	Route87	Apelin signaling pathway	P1	n82,n2,n6,n31,n20,n21,n9,n10	APLN,APLNR,GNB5,GNAI1,GNAI2,GNAI3,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8,PRKCE,RRAS2,MRAS,HRAS,KRAS,NRAS,RRAS,RAF1,MAP2K1,MAP2K2,MAPK1,MAPK3	n2,n6	APLNR,GNB5,GNAI1,GNAI2,GNAI3,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8	OR_bundle,OR_bundle	n82	APLN	And_bundle	APLNR
6393	Route88	Apelin signaling pathway	P1	n82,n2,n76,n3	APLN,APLNR,GNB5,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8,PRKAG2,PRKAG3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1	n2,n76	APLNR,GNB5,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8	OR_bundle,OR_bundle	n82	APLN	And_bundle	APLNR
6394	Route89	Apelin signaling pathway	P1	n82,n2,n76,n20,n21,n9,n10	APLN,APLNR,GNB5,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8,RRAS2,MRAS,HRAS,KRAS,NRAS,RRAS,RAF1,MAP2K1,MAP2K2,MAPK1,MAPK3	n2,n76	APLNR,GNB5,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8	OR_bundle,OR_bundle	n82	APLN	And_bundle	APLNR
6395	Route90	Apelin signaling pathway	P1	n82,n2,n76,n12,n30,n31,n20,n21,n9,n10	APLN,APLNR,GNB5,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8,PLCB1,PLCB2,PLCB3,PLCB4,C00165,PRKCE,RRAS2,MRAS,HRAS,KRAS,NRAS,RRAS,RAF1,MAP2K1,MAP2K2,MAPK1,MAPK3	n2,n76	APLNR,GNB5,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8	OR_bundle,OR_bundle	n82	APLN	And_bundle	APLNR
6396	Route91	Apelin signaling pathway	P1	n82,n2,n48,n78,n46	APLN,APLNR,GNA13,GNB5,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8,CAMK4,HDAC5,HDAC4	n2,n48	APLNR,GNA13,GNB5,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNG13,GNG2,GNG12,GNB4,GNG8	OR_bundle,OR_bundle	n82	APLN	And_bundle	APLNR
6397	Route92	Apelin signaling pathway	P1	n82,n2,n50,n52,n51,n67	APLN,APLNR,PIK3R4,PIK3C3,BECN2,BECN1,GABARAP,GABARAPL2,GABARAPL1,Autophagy - animal	n2	APLNR	OR_bundle	n82	APLN	And_bundle	APLNR
6398	Route93	Apelin signaling pathway	P1	n82,n23,n60	APLN,TGFBR1,SMAD2,SMAD3	n23	TGFBR1	OR_bundle	n82	APLN	And_bundle	TGFBR1
6399	Route120	Apoptosis	P1	n43,n38,n30,n98,n97,n26,n28,n19,n16	NGF,NTRK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,C05981,PDPK1,AKT3,AKT1,AKT2,CHUK,IKBKB,IKBKG,NFKBIA,NFKB1,RELA	n38	NTRK1	OR_bundle	n43	NGF	And_bundle	NTRK1
6400	Route121	Apoptosis	P1	n43,n38,n115,n116,n117,n118	NGF,NTRK1,HRAS,KRAS,NRAS,RAF1,MAP2K1,MAP2K2,MAPK1,MAPK3	n38	NTRK1	OR_bundle	n43	NGF	And_bundle	NTRK1
6401	Route122	Apoptosis	P1	n44,n39,n121,n23,n398	TNF,TNFRSF1A,FADD,TRADD,CASP8,CASP7,CASP3,CASP6	n39	TNFRSF1A	OR_bundle	n44	TNF	And_bundle	TNFRSF1A
6402	Route123	Apoptosis	P1	n44,n39,n122,n80,n78,n79,n395	TNF,TNFRSF1A,TRAF2,RIPK1,TRADD,DAB2IP,MAP3K5,MAPK8,MAPK9,MAPK10,JUN,FOS,JUN	n39	TNFRSF1A	OR_bundle	n44	TNF	And_bundle	TNFRSF1A
6403	Route124	Apoptosis	P1	n44,n39,n122,n27,n28,n19,n16	TNF,TNFRSF1A,TRAF2,RIPK1,TRADD,MAP3K14,CHUK,IKBKB,IKBKG,NFKBIA,NFKB1,RELA	n39	TNFRSF1A	OR_bundle	n44	TNF	And_bundle	TNFRSF1A
6404	Route126	Apoptosis	P1	n47,n41,n36,n23,n398	FASLG,FAS,FADD,CASP8,CASP7,CASP3,CASP6	n41	FAS	OR_bundle	n47	FASLG	And_bundle	FAS
6405	Route127	Apoptosis	P1	n47,n41,n77,n78,n79,n395	FASLG,FAS,DAXX,MAP3K5,MAPK8,MAPK9,MAPK10,JUN,FOS,JUN	n41	FAS	OR_bundle	n47	FASLG	And_bundle	FAS
6406	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2
6407	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	CHRM1
6408	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	ADORA1
6409	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	ADRB2
6410	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	DRD2
6411	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	EDNRA
6412	Route484	cAMP signaling pathway	P1	n404,n15,n16,n18,n22,n19,n63	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT,CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2,GNAI1,GNAI2,GNAI3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY4,C00575 (cAMP),PRKACA,PRKACB,PRKACG,GLI3	n15	CHRM1,CHRM2,ADORA1,ADRB2,DRD2,EDNRA,GABBR1,GHSR,HCAR1,FFAR2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HCAR2,NPY1R,OXTR,SUCNR1,PTGER3,SSTR1,SSTR2,SSTR5,HCAR3,GABBR2	OR_bundle	n404	EDN1,EDN2,EDN3,SST,C01996,C01089,C00186,C00334,C20793,C00042,NPY,GHRL,OXT	OR_bundle	GHSR
